User ID,Time,Category,Operation,Order ID,Transaction ID,Primary Asset,Realized Amount For Primary Asset,Realized Amount for Primary Asset in USD,Base Asset,Realized Amount For Base Asset,Realized Amount For Base Asset In USD,Quote Asset,Realized Amount for Quote Asset,Realized Amount for Quote Asset in USD,Fee Asset,Realized Amount for Fee Asset,Realized Amount for Fee Asset in USD,Payment Method,Withdraw Method,Additional Note
57173144,2025-08-26 18:32:31,Spot Trading,Sell,119175181,2424900842,"","","",SUI,18.60000000,64.24763900,USDT,63.79800000,63.81816800,USDT,0.25519200,0.25527300,Wallet,"",""
57173144,2025-08-26 19:46:57,Spot Trading,Sell,44102706,2424910244,"","","",RENDER,12.78000000,45.82917800,USDT,45.95688000,45.97140800,USDT,0.11489220,0.11492900,Wallet,"",""
57173144,2025-08-26 19:46:57,Spot Trading,Sell,44102706,2424910250,"","","",RENDER,0.07000000,0.25102100,USDT,0.25172000,0.25180000,USDT,0.00062930,0.00062900,Wallet,"",""
57173144,2025-08-26 22:52:29,Spot Trading,Buy,44165060,2424925691,"","","",RENDER,31.28000000,112.17032100,USDT,112.63928000,112.67488900,RENDER,0.12512000,0.44868100,Wallet,"",""
57173144,2025-08-26 23:02:11,Convert,Convert,2074583707796165359,3631603,"","","",XRP,82.95726041,249.88535700,USDT,235.74006788,235.81459200,USDT,13.47228692,13.47654600,Wallet,"",""
57173144,2025-08-26 23:03:50,Spot Trading,Buy,44165303,2424924891,"","","",RENDER,43.21000000,154.95139300,USDT,156.11773000,156.16708300,RENDER,0.17284000,0.61980600,Wallet,"",""
57173144,2025-08-26 23:07:00,Spot Trading,Sell,253312518,2424926492,"","","",XRP,62.40000000,187.96240600,USDT,188.22960000,188.28910500,USDT,0.75291840,0.75315600,Wallet,"",""
57173144,2025-08-26 23:07:08,Spot Trading,Buy,44165436,2424923863,"","","",RENDER,8.71000000,31.23412700,USDT,31.49536000,31.50531700,RENDER,0.03484000,0.12493700,Wallet,"",""
57173144,2025-08-26 23:17:27,Spot Trading,Buy,1284907385,2424927422,"","","",ETH,0.00540000,24.84230400,USDT,24.98569200,24.99359100,ETH,0.00002160,0.09936900,Wallet,"",""
57173144,2025-08-26 23:17:30,Spot Trading,Buy,253314514,2424925966,"","","",XRP,8.20000000,24.70018800,USDT,24.80090000,24.80874000,XRP,0.03280000,0.09880100,Wallet,"",""
57173144,2025-08-26 23:17:33,Spot Trading,Buy,711050110,2424925559,"","","",SOL,0.12600000,24.69969900,USDT,24.86232000,24.87018000,SOL,0.00050400,0.09879900,Wallet,"",""
57173144,2025-08-26 23:17:35,Spot Trading,Buy,183162710,2424927917,"","","",LINK,1.01000000,24.64384200,USDT,24.84600000,24.85385500,LINK,0.00404000,0.09857500,Wallet,"",""
57173144,2025-08-26 23:17:39,Spot Trading,Buy,44165720,2424926664,"","","",RENDER,12.55000000,45.00439700,USDT,45.53140000,45.54579400,RENDER,0.05020000,0.18001800,Wallet,"",""
57173144,2025-08-26 23:17:48,Spot Trading,Buy,131076581,2424925968,"","","",DOT,6.39000000,24.84590400,USDT,24.98490000,24.99279800,DOT,0.02556000,0.09938400,Wallet,"",""
57173144,2025-08-26 23:18:05,Spot Trading,Buy,125827195,2424925572,"","","",AAVE,0.07400000,24.89140500,USDT,24.93356000,24.94144200,AAVE,0.00029600,0.09956600,Wallet,"",""
57173144,2025-08-26 23:18:15,Spot Trading,Buy,331269656,2424928353,"","","",FIL,29.62000000,68.82253400,USDT,69.13308000,69.15493500,FIL,0.11848000,0.27529000,Wallet,"",""
57173144,2025-08-27 08:27:55,Spot Trading,Sell,535647876,2424973178,"","","",ADA,18.60000000,15.81289900,USDT,15.89742000,15.89835400,USDT,0.06358968,0.06359300,Wallet,"",""
57173144,2025-08-27 08:27:55,Spot Trading,Sell,535647876,2424973177,"","","",ADA,16.60000000,14.11258700,USDT,14.18470000,14.18553300,USDT,0.05673880,0.05674200,Wallet,"",""
57173144,2025-08-27 08:28:00,Spot Trading,Sell,44178435,2424972776,"","","",RENDER,34.06000000,121.42273000,USDT,121.86668000,121.87384000,USDT,0.48746672,0.48749500,Wallet,"",""
57173144,2025-08-27 08:28:05,Spot Trading,Buy,541671776,2424973183,"","","",BNB,0.09700000,82.99769100,USDT,83.12997000,83.13485400,BNB,0.00036860,0.31539100,Wallet,"",""
