Operation Date,Status,Currency Ticker,Operation Type,Operation Amount,Operation Fees,Operation Hash,Account Name,Account xpub,Countervalue Ticker,Countervalue at Operation Date,Countervalue at CSV Export
2025-09-01T01:17:58.000Z,Confirmed,BTC,IN,0.00161509,0.00002,61979a6c1450dfef4afb3a968441c48d6527f36d9f656487b0d90db9ab2a05f2,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,174.73,177.16
2025-07-26T14:15:56.000Z,Confirmed,BTC,IN,0.00167126,0.00000812,76227e993bdf6d3aa6a0eb119a35bf62a16f3edb9b1e6da982b7b59b424e3a3e,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,197.49,183.32
2025-07-26T07:47:28.000Z,Confirmed,BTC,IN,0.00171305,0.00001086,a22d0457330611f435f8a63ebf0204d6d270483d295b70faca0b6a500551c458,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,201.10,187.91
2025-07-16T09:01:50.000Z,Confirmed,BTC,IN,0.00097548,0.00001437,3401d285dbdc200130880424ce1dd735821bef109aee0fc4b04bd4a60561a6a3,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,116.07,107.00
2025-06-13T02:14:30.000Z,Confirmed,BTC,IN,0.00095,0.00008534,f78ef49598536b0feeb8a32eb64fa2fee5c6c096149d0994aced14b9240883ee,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,98.54,104.20
2025-06-13T02:14:30.000Z,Confirmed,BTC,IN,0.00095,0.00006566,0584be77511ef2047d9a85088c767288f265f630d7f3344449690defcf4134e3,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,98.54,104.20
2025-06-08T16:37:33.000Z,Confirmed,BTC,IN,0.00122974,0.00000999,b89ffda34d2cd1c5d992447852d4e754a179b3ed24a44afac77d4ec5da7e5891,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,130.59,134.89
2025-05-28T22:29:50.000Z,Confirmed,BTC,IN,0.00092281,0.00022837,77ea07eaea148e083d6ff91f956a03289071753c42e35c1d1e20587bba0a9bd2,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,99.21,101.22
2025-05-25T02:20:26.000Z,Confirmed,BTC,IN,0.00390393,0.000008,b540b8c53c66fc823ff64f8356d6bf4c0326024e4835b83c59283faecd2556c0,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,420.70,428.23
2025-05-22T14:56:58.000Z,Confirmed,BTC,OUT,0.00100582,0.00000582,4b4bd16374c1ee4b416f2e8f72aff49c45ef09f3b98a41355a1418180f267466,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,111.83,110.33
2025-05-15T16:26:22.000Z,Confirmed,BTC,IN,0.00083745,0.00002,d84964893e0143247cbe9b93e54434cfd683abf175104b57df8bd57fd5b0c41b,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,86.33,91.86
2025-05-12T23:33:03.000Z,Confirmed,BTC,IN,0.00123895,0.00006486,ee1cd31fddc81b5fc47380d571af5b4a6ff13bb5acd45fc733f2316adb53cae5,BTC,xpub6BgzNEknk2B5tMGRKoNrpCbu435dtAQQXiq1DENttBFToUeZvNtr7CeQhPEGrzGHZ4vyMWQYaR9yH1PNSEFpqDvee1dp49SMxqgBN2K3fg6,USD,127.53,135.90
2025-09-18T17:57:31.000Z,Confirmed,XRP,IN,0.000001,0.000011,3F16DE95C46A4DE41478F2BF518662DC760D85B641E6F5F0E5BA677B40E0C846,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,0.00,0.00
2025-09-18T17:56:52.000Z,Confirmed,XRP,OUT,300.00001,0.00001,960A2E2997A7441E6591714A1D6611EEF2E23B2D85D3F0B926A07FB5B5278AB2,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,935.77,831.00
2025-09-13T08:27:42.000Z,Confirmed,XRP,IN,0.000001,0.000011,A4E2A1D62D6D7EC5C01650422F31A8678E0EB7EE7AFD3C2FF2015DD0FFFE6AA0,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,0.00,0.00
2025-09-13T08:27:20.000Z,Confirmed,XRP,OUT,100.00001,0.00001,5F319084F9E2DF9144F76E16E791798356436FC7826A642AFB43BBD8ECFA2DB1,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,313.47,277.00
2025-09-01T00:10:02.000Z,Confirmed,XRP,IN,0.000001,0.000011,62B135C85B467988DA2DB1EF31B7C6C0FF3F8920569A4F73487164454D6955F9,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,0.00,0.00
2025-09-01T00:09:41.000Z,Confirmed,XRP,IN,184.739788,0.003,8CA7A1EECC2C12AECC5E53E2710D282F68A6B67846BE9CED99449F6FDDA9752E,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,509.90,511.72
2025-08-25T21:48:51.000Z,Confirmed,XRP,IN,0.000001,0.000011,C30219C94C1EB3661F020C0328158D135D66F97CA5B1D956A1243B710C2F8781,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,0.00,0.00
2025-08-25T21:48:02.000Z,Confirmed,XRP,OUT,175.438606,0.00001,B778FB18E43B7D276895B682162B820F3DC7EBFB730C210FE71C68A0B81B8D74,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,499.47,485.96
2025-08-22T23:14:50.000Z,Confirmed,XRP,IN,0.000001,0.000011,FA5A4D7E23CCBD94616B69FEF44C48E2D0E03FD817D080183F39E851705AE015,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,0.00,0.00
2025-08-22T23:14:31.000Z,Confirmed,XRP,IN,108.588277,0.003,647021B1F9067C687291A3D44CF38E6D57D2BFBB3DD8974DDC71B708AD77BC86,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,333.40,300.78
2025-08-16T03:55:00.000Z,Confirmed,XRP,IN,0.000001,0.000011,8D85BD1CD028153E73A871F307624C7CFA3C612B9B644082659443F6B82DCC69,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,0.00,0.00
2025-08-16T03:54:31.000Z,Confirmed,XRP,IN,50.264055,0.003,68C1D7CBE2599222C84DFF06669411747F84D8490876CF11AEA5EC3AF242E44C,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,156.37,139.23
2025-07-30T12:08:40.000Z,Confirmed,XRP,IN,0.00001,0.000012,192959F5E4EEBC82B0003CD738F2DA4FF5A043162863200C6C149AF7D8E0F61F,XRP,rGvSX7BMyuzkghXbaJqLHk529pYE2j5WR3,USD,0.00,0.00
